feature_index,training_missing_rate,pass_n,fail_n,pass_median,fail_median,mean_coefficient,positive_folds,negative_folds,rank_biserial,fdr_q_value,mean_permutation_importance,std_permutation_importance,positive_importance_folds
59,0.0039904229848363925,1165,83,0.8018,4.9745,1.6681030697804906,5,0,0.31931330472103014,0.0002651546369165243,0.007156379347917284,0.009387418891523558,4
129,0.007182761372705506,1161,83,-0.1419,0.0,1.0279374733342856,5,0,0.24566482986208404,0.009280606571738036,0.005920569744055,0.006555360605678433,4
21,0.0007980845969672786,1169,83,-5526.5,-5426.25,0.7402440397435409,5,0,0.21439393158605347,0.03370115419145138,0.007467947190437236,0.008127128249996502,4
477,0.0031923383878691143,1166,83,5.1930499999999995,6.4994,0.4702190178518387,5,0,0.27766641178780294,0.0021443264536166982,0.0018511265052084135,0.004541171856814108,4
341,0.0031923383878691143,1166,83,2.37485,2.7761,0.40168988464300287,5,0,0.24317510177933,0.009815587221473795,0.0017593961108890554,0.003971440860957991,4
